qualifier;value;description
STAT;CANP;Cancellation Pending - a cancellation request has been submitted
STAT;CNCL;Cancelled - transaction has been cancelled
STAT;SETT;Settled - transaction has been fully and finally settled
STAT;PPRC;Partially Processed - a portion of the settlement has been completed
STAT;ASTM;All Settled Matched - all sub-transactions are settled and matched
STAT;NACT;No Activity - no settlement activity during the reporting period

# Form of Securities (FORM qualifier in 22F)
FORM;REGD;Registered - security held and transferred in registered form
FORM;BEAR;Bearer - security held in bearer form (ownership by possession)
FORM;DMAT;Dematerialised - security held in electronic book-entry form at a CSD

# Short Sale Indicator (SSAL qualifier in 22F)
SSAL;SHOR;Short Sale - securities sold short, not owned at the time of the trade
SSAL;LONG;Long Sale - securities are owned and will be delivered from the account

# Quantity Type Code (component value in 36B fields, various qualifiers)
FIOP;FAMT;Face Amount - quantity expressed as nominal or face value of the security
FIOP;UNIT;Units - quantity expressed as the number of individual securities
FIOP;AMOR;Amortised Value - quantity expressed as current amortised (book) value
FICL;FAMT;Face Amount - quantity expressed as nominal or face value of the security
FICL;UNIT;Units - quantity expressed as the number of individual securities
FICL;AMOR;Amortised Value - quantity expressed as current amortised (book) value
PSTA;FAMT;Face Amount - quantity expressed as nominal or face value of the security
PSTA;UNIT;Units - quantity expressed as the number of individual securities
PSTA;AMOR;Amortised Value - quantity expressed as current amortised (book) value
PNET;FAMT;Face Amount - quantity expressed as nominal or face value of the security
PNET;UNIT;Units - quantity expressed as the number of individual securities
PNET;AMOR;Amortised Value - quantity expressed as current amortised (book) value
ESTT;FAMT;Face Amount - quantity expressed as nominal or face value of the security
ESTT;UNIT;Units - quantity expressed as the number of individual securities
ESTT;AMOR;Amortised Value - quantity expressed as current amortised (book) value
AVAL;FAMT;Face Amount - quantity expressed as nominal or face value of the security
AVAL;UNIT;Units - quantity expressed as the number of individual securities
AVAL;AMOR;Amortised Value - quantity expressed as current amortised (book) value
BLOK;FAMT;Face Amount - quantity expressed as nominal or face value of the security
BLOK;UNIT;Units - quantity expressed as the number of individual securities
BLOK;AMOR;Amortised Value - quantity expressed as current amortised (book) value
LOAN;FAMT;Face Amount - quantity expressed as nominal or face value of the security
LOAN;UNIT;Units - quantity expressed as the number of individual securities
LOAN;AMOR;Amortised Value - quantity expressed as current amortised (book) value
PEND;FAMT;Face Amount - quantity expressed as nominal or face value of the security
PEND;UNIT;Units - quantity expressed as the number of individual securities
PEND;AMOR;Amortised Value - quantity expressed as current amortised (book) value
PENR;FAMT;Face Amount - quantity expressed as nominal or face value of the security
PENR;UNIT;Units - quantity expressed as the number of individual securities
PENR;AMOR;Amortised Value - quantity expressed as current amortised (book) value
RSTR;FAMT;Face Amount - quantity expressed as nominal or face value of the security
RSTR;UNIT;Units - quantity expressed as the number of individual securities
RSTR;AMOR;Amortised Value - quantity expressed as current amortised (book) value
TAVI;FAMT;Face Amount - quantity expressed as nominal or face value of the security
TAVI;UNIT;Units - quantity expressed as the number of individual securities
TAVI;AMOR;Amortised Value - quantity expressed as current amortised (book) value
TOTA;FAMT;Face Amount - quantity expressed as nominal or face value of the security
TOTA;UNIT;Units - quantity expressed as the number of individual securities
TOTA;AMOR;Amortised Value - quantity expressed as current amortised (book) value
XPST;FAMT;Face Amount - quantity expressed as nominal or face value of the security
XPST;UNIT;Units - quantity expressed as the number of individual securities
